"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","198902","1989 February","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198902","1989 February","015","Semi-skimmed milk","Million Litres","3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198903","1989 March","001","All Milk","Million Litres","43.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198903","1989 March","012","Whole Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198903","1989 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198903","1989 March","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198903","1989 March","015","Semi-skimmed milk","Million Litres","3.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198904","1989 April","001","All Milk","Million Litres","40.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198904","1989 April","012","Whole Milk","Million Litres","36.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198904","1989 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198904","1989 April","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198904","1989 April","015","Semi-skimmed milk","Million Litres","3.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198905","1989 May","001","All Milk","Million Litres","41.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198905","1989 May","012","Whole Milk","Million Litres","38"
"AKM02","Milk Sales (Dairy) for Human Consumption","198905","1989 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198905","1989 May","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198905","1989 May","015","Semi-skimmed milk","Million Litres","3.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198906","1989 June","001","All Milk","Million Litres","42.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","198906","1989 June","012","Whole Milk","Million Litres","38.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","198906","1989 June","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198906","1989 June","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198906","1989 June","015","Semi-skimmed milk","Million Litres","3.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198907","1989 July","001","All Milk","Million Litres","41.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","198907","1989 July","012","Whole Milk","Million Litres","38.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198907","1989 July","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198907","1989 July","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198907","1989 July","015","Semi-skimmed milk","Million Litres","3.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198908","1989 August","001","All Milk","Million Litres","42"
"AKM02","Milk Sales (Dairy) for Human Consumption","198908","1989 August","012","Whole Milk","Million Litres","38.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198908","1989 August","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198908","1989 August","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198908","1989 August","015","Semi-skimmed milk","Million Litres","3.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198909","1989 September","001","All Milk","Million Litres","43.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198909","1989 September","012","Whole Milk","Million Litres","39.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198909","1989 September","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198909","1989 September","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198909","1989 September","015","Semi-skimmed milk","Million Litres","3.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","198910","1989 October","001","All Milk","Million Litres","41.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198910","1989 October","012","Whole Milk","Million Litres","37.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198910","1989 October","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198910","1989 October","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198910","1989 October","015","Semi-skimmed milk","Million Litres","3.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198911","1989 November","001","All Milk","Million Litres","40"
"AKM02","Milk Sales (Dairy) for Human Consumption","198911","1989 November","012","Whole Milk","Million Litres","36.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198911","1989 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198911","1989 November","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198911","1989 November","015","Semi-skimmed milk","Million Litres","3.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198912","1989 December","001","All Milk","Million Litres","42.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198912","1989 December","012","Whole Milk","Million Litres","38.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198912","1989 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198912","1989 December","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198912","1989 December","015","Semi-skimmed milk","Million Litres","3.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199001","1990 January","001","All Milk","Million Litres","40.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199001","1990 January","012","Whole Milk","Million Litres","36.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199001","1990 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199001","1990 January","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199001","1990 January","015","Semi-skimmed milk","Million Litres","3.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199002","1990 February","001","All Milk","Million Litres","38.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199002","1990 February","012","Whole Milk","Million Litres","34.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199002","1990 February","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199002","1990 February","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199002","1990 February","015","Semi-skimmed milk","Million Litres","3.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199003","1990 March","001","All Milk","Million Litres","44.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199003","1990 March","012","Whole Milk","Million Litres","39.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199003","1990 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199003","1990 March","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199003","1990 March","015","Semi-skimmed milk","Million Litres","4.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199004","1990 April","001","All Milk","Million Litres","40.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199004","1990 April","012","Whole Milk","Million Litres","36.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199004","1990 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199004","1990 April","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199004","1990 April","015","Semi-skimmed milk","Million Litres","3.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199005","1990 May","001","All Milk","Million Litres","41.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199005","1990 May","012","Whole Milk","Million Litres","37.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199005","1990 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199005","1990 May","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199005","1990 May","015","Semi-skimmed milk","Million Litres","3.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199006","1990 June","001","All Milk","Million Litres","43.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199006","1990 June","012","Whole Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199006","1990 June","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199006","1990 June","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199006","1990 June","015","Semi-skimmed milk","Million Litres","4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199007","1990 July","001","All Milk","Million Litres","41.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199007","1990 July","012","Whole Milk","Million Litres","37.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199007","1990 July","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199007","1990 July","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199007","1990 July","015","Semi-skimmed milk","Million Litres","3.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199008","1990 August","001","All Milk","Million Litres","42.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199008","1990 August","012","Whole Milk","Million Litres","38.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199008","1990 August","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199008","1990 August","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199008","1990 August","015","Semi-skimmed milk","Million Litres","3.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199009","1990 September","001","All Milk","Million Litres","43.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199009","1990 September","012","Whole Milk","Million Litres","39"
"AKM02","Milk Sales (Dairy) for Human Consumption","199009","1990 September","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199009","1990 September","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199009","1990 September","015","Semi-skimmed milk","Million Litres","4.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199010","1990 October","001","All Milk","Million Litres","42.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199010","1990 October","012","Whole Milk","Million Litres","37.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199010","1990 October","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199010","1990 October","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199010","1990 October","015","Semi-skimmed milk","Million Litres","4.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199011","1990 November","001","All Milk","Million Litres","40.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199011","1990 November","012","Whole Milk","Million Litres","36.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199011","1990 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199011","1990 November","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199011","1990 November","015","Semi-skimmed milk","Million Litres","4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199012","1990 December","001","All Milk","Million Litres","40.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199012","1990 December","012","Whole Milk","Million Litres","36.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199012","1990 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199012","1990 December","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199012","1990 December","015","Semi-skimmed milk","Million Litres","3.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199101","1991 January","001","All Milk","Million Litres","40.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199101","1991 January","012","Whole Milk","Million Litres","36.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199101","1991 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199101","1991 January","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199101","1991 January","015","Semi-skimmed milk","Million Litres","4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199102","1991 February","001","All Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199102","1991 February","012","Whole Milk","Million Litres","35"
"AKM02","Milk Sales (Dairy) for Human Consumption","199102","1991 February","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199102","1991 February","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199102","1991 February","015","Semi-skimmed milk","Million Litres","3.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199103","1991 March","001","All Milk","Million Litres","44"
"AKM02","Milk Sales (Dairy) for Human Consumption","199103","1991 March","012","Whole Milk","Million Litres","39.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199103","1991 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199103","1991 March","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199103","1991 March","015","Semi-skimmed milk","Million Litres","4.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199104","1991 April","001","All Milk","Million Litres","41"
"AKM02","Milk Sales (Dairy) for Human Consumption","199104","1991 April","012","Whole Milk","Million Litres","36.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199104","1991 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199104","1991 April","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199104","1991 April","015","Semi-skimmed milk","Million Litres","4.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199105","1991 May","001","All Milk","Million Litres","42.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199105","1991 May","012","Whole Milk","Million Litres","37.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199105","1991 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199105","1991 May","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199105","1991 May","015","Semi-skimmed milk","Million Litres","4.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199106","1991 June","001","All Milk","Million Litres","44"
"AKM02","Milk Sales (Dairy) for Human Consumption","199106","1991 June","012","Whole Milk","Million Litres","39.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199106","1991 June","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199106","1991 June","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199106","1991 June","015","Semi-skimmed milk","Million Litres","4.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199107","1991 July","001","All Milk","Million Litres","42.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199107","1991 July","012","Whole Milk","Million Litres","37.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199107","1991 July","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199107","1991 July","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199107","1991 July","015","Semi-skimmed milk","Million Litres","4.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199108","1991 August","001","All Milk","Million Litres","42.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199108","1991 August","012","Whole Milk","Million Litres","37.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199108","1991 August","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199108","1991 August","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199108","1991 August","015","Semi-skimmed milk","Million Litres","4.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199109","1991 September","001","All Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199109","1991 September","012","Whole Milk","Million Litres","38.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199109","1991 September","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199109","1991 September","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199109","1991 September","015","Semi-skimmed milk","Million Litres","4.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199110","1991 October","001","All Milk","Million Litres","41.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199110","1991 October","012","Whole Milk","Million Litres","36.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199110","1991 October","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199110","1991 October","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199110","1991 October","015","Semi-skimmed milk","Million Litres","4.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199111","1991 November","001","All Milk","Million Litres","41"
"AKM02","Milk Sales (Dairy) for Human Consumption","199111","1991 November","012","Whole Milk","Million Litres","36.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199111","1991 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199111","1991 November","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199111","1991 November","015","Semi-skimmed milk","Million Litres","4.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199112","1991 December","001","All Milk","Million Litres","43.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199112","1991 December","012","Whole Milk","Million Litres","37.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199112","1991 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","199112","1991 December","014","Skimmed Milk","Million Litres","0.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199112","1991 December","015","Semi-skimmed milk","Million Litres","4.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199201","1992 January","001","All Milk","Million Litres","43.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199201","1992 January","012","Whole Milk","Million Litres","37.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199201","1992 January","013","Skimmed and Semi-skimmed milk","Million Litres","6.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199201","1992 January","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199201","1992 January","015","Semi-skimmed milk","Million Litres","5.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199202","1992 February","001","All Milk","Million Litres","41.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199202","1992 February","012","Whole Milk","Million Litres","35.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199202","1992 February","013","Skimmed and Semi-skimmed milk","Million Litres","6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199202","1992 February","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199202","1992 February","015","Semi-skimmed milk","Million Litres","5.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199203","1992 March","001","All Milk","Million Litres","46.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199203","1992 March","012","Whole Milk","Million Litres","39.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199203","1992 March","013","Skimmed and Semi-skimmed milk","Million Litres","7.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199203","1992 March","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199203","1992 March","015","Semi-skimmed milk","Million Litres","6.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199204","1992 April","001","All Milk","Million Litres","42.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199204","1992 April","012","Whole Milk","Million Litres","36"
"AKM02","Milk Sales (Dairy) for Human Consumption","199204","1992 April","013","Skimmed and Semi-skimmed milk","Million Litres","6.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199204","1992 April","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199204","1992 April","015","Semi-skimmed milk","Million Litres","5.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199205","1992 May","001","All Milk","Million Litres","43.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199205","1992 May","012","Whole Milk","Million Litres","37.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199205","1992 May","013","Skimmed and Semi-skimmed milk","Million Litres","6.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199205","1992 May","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199205","1992 May","015","Semi-skimmed milk","Million Litres","6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199206","1992 June","001","All Milk","Million Litres","44.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199206","1992 June","012","Whole Milk","Million Litres","37.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199206","1992 June","013","Skimmed and Semi-skimmed milk","Million Litres","6.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199206","1992 June","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199206","1992 June","015","Semi-skimmed milk","Million Litres","6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199207","1992 July","001","All Milk","Million Litres","43.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199207","1992 July","012","Whole Milk","Million Litres","37.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199207","1992 July","013","Skimmed and Semi-skimmed milk","Million Litres","6.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199207","1992 July","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199207","1992 July","015","Semi-skimmed milk","Million Litres","5.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199208","1992 August","001","All Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199208","1992 August","012","Whole Milk","Million Litres","37.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199208","1992 August","013","Skimmed and Semi-skimmed milk","Million Litres","6.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199208","1992 August","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199208","1992 August","015","Semi-skimmed milk","Million Litres","5.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199209","1992 September","001","All Milk","Million Litres","45.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199209","1992 September","012","Whole Milk","Million Litres","38.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199209","1992 September","013","Skimmed and Semi-skimmed milk","Million Litres","6.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199209","1992 September","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199209","1992 September","015","Semi-skimmed milk","Million Litres","6.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199210","1992 October","001","All Milk","Million Litres","43.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199210","1992 October","012","Whole Milk","Million Litres","37"
"AKM02","Milk Sales (Dairy) for Human Consumption","199210","1992 October","013","Skimmed and Semi-skimmed milk","Million Litres","6.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199210","1992 October","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199210","1992 October","015","Semi-skimmed milk","Million Litres","6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199211","1992 November","001","All Milk","Million Litres","42.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199211","1992 November","012","Whole Milk","Million Litres","35.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199211","1992 November","013","Skimmed and Semi-skimmed milk","Million Litres","6.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199211","1992 November","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199211","1992 November","015","Semi-skimmed milk","Million Litres","5.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199212","1992 December","001","All Milk","Million Litres","45"
"AKM02","Milk Sales (Dairy) for Human Consumption","199212","1992 December","012","Whole Milk","Million Litres","38.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","199212","1992 December","013","Skimmed and Semi-skimmed milk","Million Litres","6.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199212","1992 December","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199212","1992 December","015","Semi-skimmed milk","Million Litres","6.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199301","1993 January","001","All Milk","Million Litres","42.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","199301","1993 January","012","Whole Milk","Million Litres","35.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199301","1993 January","013","Skimmed and Semi-skimmed milk","Million Litres","6.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","199301","1993 January","014","Skimmed Milk","Million Litres","0.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199301","1993 January","015","Semi-skimmed milk","Million Litres","5.9"
"AKM02","Milk Sales (Dairy) for Human Consumption","199302","1993 February","001","All Milk","Million Litres","41"
"AKM02","Milk Sales (Dairy) for Human Consumption","199302","1993 February","012","Whole Milk","Million Litres","34.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199302","1993 February","013","Skimmed and Semi-skimmed milk","Million Litres","6.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199302","1993 February","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199302","1993 February","015","Semi-skimmed milk","Million Litres","5.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199303","1993 March","001","All Milk","Million Litres","46.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","199303","1993 March","012","Whole Milk","Million Litres","39.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","199303","1993 March","013","Skimmed and Semi-skimmed milk","Million Litres","7.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","199303","1993 March","014","Skimmed Milk","Million Litres","0.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","199303","1993 March","015","Semi-skimmed milk","Million Litres","6.7"
"AKM02","Milk Sales (Dairy) for Human Consumption","199304","1993 April","001","All Milk","Million Litres","43.1"
