"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","198011","1980 November","001","All Milk","Million Litres","36.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198011","1980 November","012","Whole Milk","Million Litres","36.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198011","1980 November","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198011","1980 November","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198011","1980 November","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198012","1980 December","001","All Milk","Million Litres","37.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198012","1980 December","012","Whole Milk","Million Litres","37.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198012","1980 December","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198012","1980 December","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198012","1980 December","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198101","1981 January","001","All Milk","Million Litres","39"
"AKM02","Milk Sales (Dairy) for Human Consumption","198101","1981 January","012","Whole Milk","Million Litres","39"
"AKM02","Milk Sales (Dairy) for Human Consumption","198101","1981 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198101","1981 January","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198101","1981 January","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198102","1981 February","001","All Milk","Million Litres","36.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198102","1981 February","012","Whole Milk","Million Litres","36.3"
"AKM02","Milk Sales (Dairy) for Human Consumption","198102","1981 February","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198102","1981 February","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198102","1981 February","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198103","1981 March","001","All Milk","Million Litres","39.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198103","1981 March","012","Whole Milk","Million Litres","39.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198103","1981 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198103","1981 March","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198103","1981 March","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198104","1981 April","001","All Milk","Million Litres","39.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198104","1981 April","012","Whole Milk","Million Litres","39.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198104","1981 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198104","1981 April","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198104","1981 April","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198105","1981 May","001","All Milk","Million Litres","39.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198105","1981 May","012","Whole Milk","Million Litres","39.5"
"AKM02","Milk Sales (Dairy) for Human Consumption","198105","1981 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198105","1981 May","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198105","1981 May","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198106","1981 June","001","All Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198106","1981 June","012","Whole Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198106","1981 June","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198106","1981 June","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198106","1981 June","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198107","1981 July","001","All Milk","Million Litres","40.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198107","1981 July","012","Whole Milk","Million Litres","40.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198107","1981 July","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198107","1981 July","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198107","1981 July","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198108","1981 August","001","All Milk","Million Litres","40.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198108","1981 August","012","Whole Milk","Million Litres","40.1"
"AKM02","Milk Sales (Dairy) for Human Consumption","198108","1981 August","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198108","1981 August","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198108","1981 August","015","Semi-skimmed milk","Million Litres",""
